Asset ID,Work Order,Route,Creation Date,Creation By,Completion Date,Completed By,Reason,Status,Activity,WoDesc,WoComments,
SIG_10301,WH23,Barr Rd,6/9/2023,WHerman1,,,InventoryAdj,Open,Replace,,,
SIG_10303,WH23,Barr Rd,6/9/2023,WHerman1,,,InventoryAdj,Open,Replace,,,
SIG_103044,WH23,Lake Pointe Dr,7/26/2023,WHerman1,,,InventoryAdj,Open,Replace,,,
SIG_103045,WH23,Lake Pointe Dr,7/26/2023,WHerman1,,,InventoryAdj,Open,Replace,,,
SIG_10305,WH23,Barr Rd,6/9/2023,WHerman1,,,InventoryAdj,Open,Replace,,,
SIG_103054,WH23,Palisades Dr,7/26/2023,WHerman1,,,InventoryAdj,Open,Replace,,,
SIG_103055,WH23,Manorhaven St,7/26/2023,WHerman1,,,InventoryAdj,Open,Replace,,,
SIG_103057,WH23,Dunwoodie St,7/26/2023,WHerman1,,,InventoryAdj,Open,Replace,,,
SIG_103061,WH23,Circle Dr,7/26/2023,WHerman1,,,InventoryAdj,Open,Replace,,,
SIG_103063,WH23,Ardsley Dr,7/26/2023,WHerman1,,,Obstruction,Open,Replace,,Trees blocking sign,
SIG_103063,WH23,Ardsley Dr,7/26/2023,WHerman1,,,InventoryAdj,Open,Replace,,,
SIG_103734,20230214CC1,Andersonville Road,2/14/2023,Ccarraway1,,,Reflectivity,Open,Replace,Andersonville and Big Lake Rd Review,,
SIG_103887,,Paige Ave,6/8/2023,WHerman1,,,InventoryAdj,Open,Replace,,,
SIG_103895,,Oldsmobile Ave,6/8/2023,WHerman1,,,InventoryAdj,Open,Replace,,,
SIG_103957,,Oldsmobile Ave,6/8/2023,WHerman1,,,InventoryAdj,Open,Replace,,,
SIG_103997,,Otsego Rd,6/8/2023,WHerman1,,,InventoryAdj,Open,Replace,,No way this is from 2017,
SIG_103998,,Wewoka Rd,6/8/2023,WHerman1,,,InventoryAdj,Open,Replace,,Looks to low,
SIG_104014,,Voorheis Rd,6/8/2023,WHerman1,,,InventoryAdj,Open,Retire,,We don’t install these in subdivisions,
SIG_104165,,Otsego Rd,6/8/2023,WHerman1,,,InventoryAdj,Open,Replace,,,
SIG_104205,,Oldsmobile Ave,6/8/2023,WHerman1,,,InventoryAdj,Open,Replace,,,
SIG_104207,,Oldsmobile Ave,6/8/2023,WHerman1,,,InventoryAdj,Open,Replace,,,
SIG_104217,,Paige Ave,6/8/2023,WHerman1,,,InventoryAdj,Open,Replace,,,
SIG_104231,,Oshawa Cir,6/8/2023,WHerman1,,,InventoryAdj,Open,Replace,,Old,
SIG_104232,,Voorheis Rd,6/8/2023,WHerman1,,,InventoryAdj,Open,Retire,,We don’t install these in subdivisions,
SIG_104248,,Otsego Rd,6/8/2023,WHerman1,,,InventoryAdj,Open,Replace,,,
SIG_104769,,Moccasin Trl,1/26/2024,Rwilliams1,,,Reflectivity,Open,Replace,,,
SIG_104770,,Moccasin Trl,1/26/2024,Rwilliams1,,,Reflectivity,Open,Replace,,,
SIG_104850,20230605CC,Woodbine Dr,6/2/2023,Ccarraway1,,,Reflectivity,Open,Replace,,,
SIG_104855,20230605CC,S Lynn Ave,6/2/2023,Ccarraway1,,,Reflectivity,Open,Replace,,,
SIG_104875,20230605CC,Pioneer Ave,6/2/2023,Ccarraway1,,,Reflectivity,Open,Replace,,,
SIG_104876,20230605CC,Pioneer Ave,6/2/2023,Ccarraway1,,,Reflectivity,Open,Replace,,,
SIG_104879,20230605CC,Draper Ave,6/2/2023,Ccarraway1,,,Reflectivity,Open,Replace,,,
SIG_104880,20230605CC,Menominee Rd,6/2/2023,Ccarraway1,,,Reflectivity,Open,Replace,,,
SIG_104881,20230605CC,Starr Ave,6/2/2023,Ccarraway1,,,Reflectivity,Open,Replace,,,
SIG_104882,20230605CC,S Josephine Ave,6/2/2023,Ccarraway1,,,Reflectivity,Open,Replace,,,
SIG_104888,20230605CC,Calvert Ave,6/2/2023,Ccarraway1,,,Reflectivity,Open,Replace,,,
SIG_104890,20230605CC,Starr Ave,6/2/2023,Ccarraway1,,,Reflectivity,Open,Replace,,,
SIG_104906,20230605CC,Waterly Ave,6/2/2023,Ccarraway1,,,Reflectivity,Open,Replace,,,
SIG_104908,20230605CC,Menominee Rd,6/2/2023,Ccarraway1,,,Reflectivity,Open,Replace,,,
SIG_104910,20230605CC,Menominee Rd,6/2/2023,Ccarraway1,,,Reflectivity,Open,Replace,,,
SIG_10492,WH23,Belford Rd,6/28/2023,WHerman1,,,InventoryAdj,Open,Replace,,,
SIG_104953,,Novara Ave,6/8/2023,WHerman1,,,InventoryAdj,Open,Replace,,,
SIG_104971,,Rogers Ave,6/8/2023,WHerman1,,,Reflectivity,Open,Replace,,,
SIG_104972,,Holbrook Ave,6/8/2023,WHerman1,,,InventoryAdj,Open,Replace,,,
SIG_104973,,Holbrook Ave,6/8/2023,WHerman1,,,InventoryAdj,Open,Replace,,,
SIG_105117,,Rich Dr,10/11/2023,Dflowers1,,,Other,Open,Replace,Signs are outdated and need to be replaced.  ,signs are not marked. ,
SIG_105118,,Rich Dr,10/11/2023,Dflowers1,,,Other,Open,Replace,Signs are outdated and need to be replaced.  ,signs are not marked ,
SIG_105249,20230301MA1,Twin Sun Cir,3/1/2023,Maustermann1,,,Required Installation,Open,Retire,Changing existing Yield sign to stop sign,,
SIG_105481,20231012DF1,Bridge Rd,10/12/2023,Dflowers1,,,Other,Open,Replace,Signs are outdated and need to be replaced. ,Signs are not marked.,
SIG_105482,20231012DF1,Bridge Rd,10/12/2023,Dflowers1,,,Other,Open,Replace,Signs are outdated and need to be replaced. ,Signs are not marked.,
SIG_105483,20231010DF1,Bridge Rd,10/10/2023,Dflowers1,,,Other,Open,Replace,Signs are outdated and need to be replaced.   ,Signs are unmarked. ,
SIG_105484,20231010DF1,Bridge Rd,10/11/2023,Dflowers1,,,Other,Open,Replace,Signs are outdated and need to be replaced.  ,Sign isn't marked.  ,
SIG_105485,20231010DF1,Bridge Rd,10/10/2023,Dflowers1,,,Other,Open,Replace,Signs are outdated and need to be replaced.   ,Signs are unmarked. ,
SIG_105486,20231010DF1,Bridge Rd,10/10/2023,Dflowers1,,,Other,Open,Replace,Signs are outdated and need to be replaced.   Narrow Road sign,Signs are unmarked. ,
SIG_105487,20231010DF1,Bridge Rd,10/10/2023,Dflowers1,,,Other,Open,Replace,Signs are outdated and need to be replaced.   ,Signs are unmarked. ,
SIG_106008,WH23,Lakeville Rd,6/9/2023,WHerman1,,,InventoryAdj,Open,Replace,,Bent,
SIG_106397,20210622BR,Covert Rd,6/22/2021,Brank1,,,Reflectivity,Open,Replace,Replace Warning Signs,Not Marked 5,
SIG_106400,20210622BR,Covert Rd,6/22/2021,Brank1,,,Reflectivity,Open,Replace,Replace Warning Signs,Not Marked 5,
SIG_106404,20210622BR,Covert Rd,6/22/2021,Brank1,,,Reflectivity,Open,Replace,Replace Warning Signs,Not Marked 2,
SIG_106405,20210622BR,Covert Rd,6/22/2021,Brank1,,,Reflectivity,Open,Replace,Replace Warning Signs,Not Marked 2,
SIG_106436,20210622BR,Merry Rd,6/22/2021,Brank1,,,Reflectivity,Open,Replace,Replace Warning Signs,Not Marked 9,
SIG_10793,20210311,Benstein Rd,3/11/2021,Swixom1,,,Faded,Open,Replace,Replace post & sign,,
SIG_10851,WH23,Betts,6/12/2023,WHerman1,,,InventoryAdj,Open,Replace,,,
SIG_10872,BrentNTOR,Big Beaver Rd,7/18/2023,Bhollady1,,,InventoryAdj,Open,Retire,This is not the proper sign for NTOR Per FHWA,,
SIG_108948,240325AB1,Saginaw Trl,3/27/2024,Abates1,,,InventoryAdj,Open,Retire,,Dont need here,
SIG_109003,20190716,Emburke Blvd,7/16/2019,HAustermann,,,Faded,Open,Replace,Replace R7-14 (12"X18") "NO STOPPING STANDING PARKING" sign.,PINK 6,
SIG_109038,240327AB1,Saginaw Trl,3/27/2024,Abates1,,,InventoryAdj,Open,Replace,,This sign is NOT from 2017.  Please repalce.,
SIG_109086,20230621CC,Silver Sands Dr,6/21/2023,Ccarraway1,,,Reflectivity,Open,Replace,,OLD STYLE SIGN,
SIG_109100,20230621CC,Highfield Rd,6/22/2023,Ccarraway1,,,Reflectivity,Open,Replace,,OLD SIGN STYLE,
SIG_109120,20230621CC,Highfield Rd,6/22/2023,Ccarraway1,,,Reflectivity,Open,Replace,,OLD STYLE ,
SIG_109264,20230621CC,Pine Orchard Dr,6/21/2023,Ccarraway1,,,Reflectivity,Open,Replace,,,
SIG_109276,240325AB1,Saginaw Trl,3/27/2024,Abates1,,,InventoryAdj,Open,Retire,,Dont need here,
SIG_109277,240325AB1,Saginaw Trl,3/27/2024,Abates1,,,InventoryAdj,Open,Retire,,dont need here.,
SIG_109280,20230621CC,Lorena Dr,6/21/2023,Ccarraway1,,,Reflectivity,Open,Replace,,,
SIG_109285,20230621CC,Baybrook Dr,6/21/2023,Ccarraway1,,,Reflectivity,Open,Replace,,,
SIG_109286,20230621CC,Baybrook Dr,6/21/2023,Ccarraway1,,,Reflectivity,Open,Replace,,,
SIG_109287,20230621CC,Pine Orchard Cir,6/21/2023,Ccarraway1,,,Reflectivity,Open,Replace,,,
SIG_109288,20230621CC,Highfield Rd,6/22/2023,Ccarraway1,,,Reflectivity,Open,Replace,,,
SIG_109308,20230621CC,Pine Orchard Dr,6/21/2023,Ccarraway1,,,Required Installation,Open,Replace,,,
SIG_109310,20230621CC,Litchfield Dr,6/21/2023,Ccarraway1,,,Reflectivity,Open,Replace,,,
SIG_109311,240325AB1,,3/27/2024,Abates1,,,InventoryAdj,Open,Retire,,Dont need here,
SIG_109312,20230621CC,Denby Dr,6/21/2023,Ccarraway1,,,Required Installation,Open,Replace,,,
SIG_109313,20230621CC,Denby Dr,6/21/2023,Ccarraway1,,,Required Installation,Open,Replace,,,
SIG_109314,240325AB1,,3/27/2024,Abates1,,,InventoryAdj,Open,Retire,,not needed here,
SIG_109719,20221005DS1,Seyburn Ave,10/27/2022,Dschimmel1,,,Reflectivity,Open,Replace,Please replace sign/post,,
SIG_109885,20200430,Elizabeth Lake Rd,4/30/2020,brank,,,Reflectivity,Open,Replace,Strinham Farms Subdivision,Not Marked 11,
SIG_110326,WH23,Arms Ct,8/8/2023,WHerman1,,,InventoryAdj,Open,Replace,,,
SIG_110327,WH23,Arms Ct,8/8/2023,WHerman1,,,InventoryAdj,Open,Replace,,,
SIG_110730,WH23,Plum Creek Dr,8/7/2023,WHerman1,,,InventoryAdj,Open,Replace,,,
SIG_110731,WH23,Plum Creek Dr,8/7/2023,WHerman1,,,InventoryAdj,Open,Replace,,,
SIG_110746,WH23,Arms Ct,8/8/2023,WHerman1,,,InventoryAdj,Open,Replace,,,
SIG_110747,WH23,Adams Rd,8/7/2023,WHerman1,,,InventoryAdj,Open,Replace,,,
SIG_110782,WH23,Normandy Dr,8/9/2023,WHerman1,,,InventoryAdj,Open,Replace,,,
SIG_110783,WH23,Normandy Ct,8/9/2023,WHerman1,,,InventoryAdj,Open,Replace,,,
SIG_110787,WH23,McMillan Ct,8/9/2023,WHerman1,,,InventoryAdj,Open,Replace,,,
SIG_110788,WH23,McMillan Ct,8/9/2023,WHerman1,,,InventoryAdj,Open,Replace,,,
SIG_110808,WH23,Country Creek Dr,8/9/2023,WHerman1,,,InventoryAdj,Open,Replace,,,
SIG_110813,WH23,Lake George Rd,8/7/2023,WHerman1,,,InventoryAdj,Open,Replace,,,
SIG_110819,WH23,Hickory Leaf Court,8/1/2023,WHerman1,,,InventoryAdj,Open,Replace,,,
SIG_110865,WH23,Territorial Rd,8/4/2023,WHerman1,,,InventoryAdj,Open,Replace,,,
SIG_110865,WH23,Territorial Rd,8/4/2023,WHerman1,,,Obstruction,Open,Replace,,Trees block sign,
SIG_110870,WH23,N ELLAMAE RD,8/4/2023,WHerman1,,,InventoryAdj,Open,Replace,,,
SIG_110927,20180618,Ridgewood Rd,6/18/2018,Jboggess,,,Required Installation,Open,Remove,SIGN 7 - REMOVE W3-1a "STOP AHEAD" SIGN & REPLACE POST / INSTALL W3-1 "STOP AHEAD" (SYM) SIGN,,
SIG_110930,0,Ridgewood Rd,5/1/2018,mhorkan,,,Reflectivity,Open,Replace,replace faded sign,,
SIG_110954,20180618,Bostall Woods Dr,6/18/2018,Jboggess,,,Reflectivity,Open,Replace,SIGN 3 - REPLACE OM4-3 "END OF ROAD MARKER" SIGN & POST / INSTALL W14-2B "ROAD ENDS" SIGN,,
SIG_110995,20191009,Oak Arbor Cir W,10/9/2019,Jboggess,,,Reflectivity,Open,Replace,SIGN 1 - REPLACE S1-1 "SCHOOL" SIGN & POST,,
SIG_111004,WH23,Whims Ln,8/4/2023,WHerman1,,,InventoryAdj,Open,Replace,,,
SIG_111004,WH23,Whims Ln,8/4/2023,WHerman1,,,Obstruction,Open,Replace,,Trees blocking view of intersection,
SIG_111021,20180618,Edgewood Dr,6/18/2018,Jboggess,,,Reflectivity,Open,Replace,SIGN 11 - REPLACE R2-1 "SPEED LIMIT 25" SIGN & POST,,
SIG_111023,20180618,Ridgewood Rd,6/18/2018,Jboggess,,,Reflectivity,Open,Replace,SIGN 10 - REPLACE R2-1 "SPEED LIMIT 25" SIGN & POST,,
SIG_111024,0,Ridgewood Rd,5/1/2018,mhorkan,,,Reflectivity,Open,Replace,replace sign,,
SIG_111025,WH23,Abbey Wood Dr,8/3/2023,WHerman1,,,InventoryAdj,Open,Replace,,,
SIG_111037,20180618,Charlesina Dr,6/18/2018,Jboggess,,,Reflectivity,Open,Replace,SIGN 1 - REPLACE R2-1 "SPEED LIMIT 25" SIGN & POST,,
SIG_111540,,WELLWOOD DR,11/8/2021,Jboggess1,,,Reflectivity,Open,Replace,SIGN 1 - REPLACE R1-2 "YIELD" SIGN,,
SIG_111750,,Pine Lake Rd,2/2/2024,Rlipinski1,,,InventoryAdj,Open,Retire,,,
SIG_111751,,Pine Lake Rd,2/2/2024,Rlipinski1,,,InventoryAdj,Open,Retire,,,
SIG_111895,,Walton Blvd ,11/14/2022,Dschimmel1,,,Other,Open,Align,,Remove sign for Walton project,
SIG_112105,,Pine Lake Rd,2/2/2024,Rlipinski1,,,InventoryAdj,Open,Retire,,,
SIG_112106,,Pine Lake Rd,2/2/2024,Rlipinski1,,,InventoryAdj,Open,Retire,,,
SIG_112601,BrentNTOR,Lahser Rd ,7/18/2023,Bhollady1,,,InventoryAdj,Open,Retire,This is not the proper sign for NTOR.,,
SIG_112977,BrentNTOR,Westacre Dr,7/18/2023,Bhollady1,,,InventoryAdj,Open,Retire,This is not the proper sign for NTOR,,
SIG_113047,P240419AW2,Orion Road,4/19/2024,Awilfong1,,,Required Installation,Open,Retire,Removing dedication panel,,
SIG_113051,P240419AW2,Orion Road,4/19/2024,Awilfong1,,,Required Installation,Open,Retire,Removing dedication panel,,
SIG_113081,20230214CC1,Big Lake Road,2/14/2023,Ccarraway1,,,Reflectivity,Open,Replace,Andersonville and Big Lake Rd Review,,
SIG_113382,,Walton Blvd ,11/14/2022,Dschimmel1,,,Other,Open,Align,,Replace sign for Walton project use type V sign,
SIG_113731,20180618,Charlesina Drive,6/18/2018,Jboggess,,,Reflectivity,Open,ClearObstruction,SIGN 8 - REPLACE/BRUSH W14-1 "DEAD END" SIGN & POST,,
SIG_113731,20180618,Charlesina Drive,6/18/2018,Jboggess,,,Reflectivity,Open,Replace,SIGN 8 - REPLACE/BRUSH W14-1 "DEAD END" SIGN & POST,,
SIG_113733,20180618,Becker Drive,6/18/2018,Jboggess,,,Reflectivity,Open,Replace,SIGN 6 - REPLACE OM4-3 "END OF ROAD MARKER" SIGN & POST AND  INSTALL W14-2B "ROAD ENDS" SIGN,,
SIG_115002,240325AB1,Watkins Lake Rd,3/27/2024,Abates1,,,InventoryAdj,Open,Other,,remove flags.,
SIG_115385,20230214CC1,Big Lake Road,2/14/2023,Ccarraway1,,,Reflectivity,Open,Replace,Andersonville Rd and Big Lake Rd Review,,
SIG_115438,56941,12 Mile Rd,3/8/2024,Rwilliams1,,,InventoryAdj,Open,Retire,,,
SIG_115975,AndyReplace,Scott Lake Rd,7/18/2023,Abates1,,,InventoryAdj,Open,Replace,To replace old or improper signs with NEW,See pictures,
SIG_116139,20190910,Indianwood Road,9/10/2019,Jboggess,,,Required Installation,Open,New,SIGN 1 - INSTALL W2-2(L) "SIDE STREET" (LEFT) SIGN & POSTS,,
SIG_116140,20190910,Indianwood Road,9/10/2019,Jboggess,,,Required Installation,Open,New,SIGN 1 - INSTALL W16-8aP "Absequami Tr" SIGN,,
SIG_116397,20210528,14 Mile Rd,5/28/2021,Awilfong1,,,Reflectivity,Open,Replace,Replacing Warning signs and posts,,
SIG_116398,20210528,14 Mile Rd,5/28/2021,Awilfong1,,,Reflectivity,Open,Replace,Replacing Warning signs and posts,,
SIG_117160,20240415AR1,Lonepine Rd,4/15/2024,Arucinski1,,,InventoryAdj,Open,Retire,,Remove "End School Speed zone" sign ONLY.  School Speed zone no longer exists,
SIG_117849,BrentNTOR,Pontiac Tr,7/18/2023,Bhollady1,,,InventoryAdj,Open,Retire,This is not the proper sign for NTOR.,,
SIG_117851,BrentNTOR,Haggerty Rd,7/18/2023,Bhollady1,,,InventoryAdj,Open,Retire,This is not the proper sign NTOR.,,
SIG_118050,57023,Eastways,12/14/2023,Rlipinski1,,,Constrctn,Open,Retire,To be removed during construction project 57023 in 2024.,,
SIG_118051,57023,Eastways,12/14/2023,Rlipinski1,,,Constrctn,Open,Retire,To be removed during construction project 57023 in 2024.,,
SIG_118052,57023,Eastways,12/14/2023,Rlipinski1,,,Constrctn,Open,Retire,To be removed during construction project 57023 in 2024.,,
SIG_118209,20240411MB1,Maybee Rd,4/11/2024,Mbachman1,,,Knockdown,Open,Replace,Replace Chevron signs and posts. ,Replace Chevron (Left) sign. ,
SIG_118210,20240411MB1,Maybee Rd,4/11/2024,Mbachman1,,,Knockdown,Open,Replace,Replace Chevron signs and posts. ,Replace Chevron (Right) sign. ,
SIG_118684,20230217RL3,Long Lake Rd,2/17/2023,Rlipinski1,,,Reflectivity,Open,Replace,Replace posts and sign.,,
SIG_11898,WH23,South Blvd,6/14/2023,WHerman1,,,InventoryAdj,Open,Replace,,,
SIG_11899,WH23,South Blvd,6/14/2023,WHerman1,,,InventoryAdj,Open,Replace,,,
SIG_12031,WH23,Big Fish Lake Rd,7/18/2023,WHerman1,,,Missing,Open,Replace,,Missing,
SIG_12105,20230214CC1,Big Lake Road,2/14/2023,Ccarraway1,,,Reflectivity,Open,Replace,Andersonville and Big Lake Rd Review,,
SIG_12107,20230214CC1,Big Lake Road,2/14/2023,Ccarraway1,,,Other,Open,Replace,Andersonville Rd and Big Lake Rd Review,,
SIG_12116,20230214CC1,Big Lake Road,2/14/2023,Ccarraway1,,,Other,Open,Replace,Andersonville Rd and Big Lake Rd Review,,
SIG_12245,WH23,Bird Rd,6/21/2023,WHerman1,,,InventoryAdj,Open,Replace,,,
SIG_12246,WH23,Bird Rd,6/21/2023,WHerman1,,,InventoryAdj,Open,Replace,,,
SIG_12253,WH23,Bird Rd,6/21/2023,WHerman1,,,InventoryAdj,Open,Replace,,,
SIG_12254,WH23,Bird Rd,6/21/2023,WHerman1,,,InventoryAdj,Open,Replace,,,
SIG_124791,,Joslyn Road,1/6/2021,Jboggess1,,,Required Installation,Open,New,SIGN 2 - INSTALL R3-8 (MOD) "Brown Rd EAST / Dual Rights / RIGHT 2 LANES" SIGN & POSTS (SUP_98293),,
SIG_12615,AndyReplace,Bogie Lake Rd,7/18/2023,Abates1,,,InventoryAdj,Open,Replace,replace missing sign and post.,,
SIG_12616,AndyReplace,Bogie Lake Rd,7/18/2023,Abates1,,,InventoryAdj,Open,Replace,Replace missing sign in field.,,
SIG_12669,20210419,Bogie Lake Rd,4/20/2021,Brank1,,,Reflectivity,Open,Replace,Install Truck Crossing word sign,Remove Truck Crossing symbolic sign and Replace with Truck Crossing word signNot Marked 9,
SIG_12692,,Bogie Lake Rd,2/1/2024,Rlipinski1,,,InventoryAdj,Open,Replace,,,
SIG_12776,WH23,Bone Rd,6/26/2023,WHerman1,,,InventoryAdj,Open,Replace,,,
SIG_12813,WH23,Brewer Rd,6/7/2023,WHerman1,,,InventoryAdj,Open,Replace,,,
SIG_12821,WH23,Brewer Rd,6/7/2023,WHerman1,,,InventoryAdj,Open,Replace,,,
SIG_12824,WH23,Brewer Rd,6/7/2023,WHerman1,,,InventoryAdj,Open,Replace,,,
SIG_1313,20230214CC1,Big Lake Road,2/14/2023,Ccarraway1,,,Other,Open,Replace,Andersonville Rd and Big Lake Rd Review,,
SIG_13218,WH23,Buckell Lake Rd,6/21/2023,WHerman1,,,InventoryAdj,Open,Replace,,,
SIG_13350,WH23,Buell Rd ,8/1/2023,WHerman1,,,InventoryAdj,Open,Replace,,,
SIG_1341,WH23,Van Rd,6/16/2023,WHerman1,,,InventoryAdj,Open,Replace,,,
SIG_13484,WH23,Burrus,7/13/2023,WHerman1,,,Missing,Open,Replace,,Missing,
SIG_13489,WH23,Burrus,7/13/2023,WHerman1,,,InventoryAdj,Open,Replace,,,
SIG_1392,20180618,Ridgewood Drive,6/18/2018,Jboggess,,,Reflectivity,Open,ClearObstruction,SIGN 2 - REPLACE/BRUSH W14-2 "NO OUTLET" SIGN,,
SIG_1392,20180618,Ridgewood Drive,6/18/2018,Jboggess,,,Reflectivity,Open,Replace,SIGN 2 - REPLACE/BRUSH W14-2 "NO OUTLET" SIGN,,
SIG_14212,20220506DS1,Cedar Island Rd,5/6/2022,Dschimmel1,,,Other,Open,Retire,Please remove sign/posts,,
SIG_14465,20240409MB1,Clark Rd,4/9/2024,Mbachman1,,,Reflectivity,Open,Replace,Replace signs and posts. ,1. Replace North Wind Ct (PVT) sign with proper spelling Northwind Ct sign (PVT). Not marked.,
SIG_14466,20240409MB1,Clark Rd,4/9/2024,Mbachman1,,,Reflectivity,Open,Replace,Replace signs and posts. ,2. Replace Stop sign. Not marked.,
SIG_145068,BrentNTOR,Southfield Rd,7/18/2023,Bhollady1,,,InventoryAdj,Open,Retire,This is not the proper sign for NTOR.,,
SIG_145071,56921,Southfield Rd,10/6/2023,Maustermann1,,,Constrctn,Open,Retire,,,
SIG_145074,BrentNTOR,Southfield,7/18/2023,Bhollady1,,,InventoryAdj,Open,Retire,This is not the proper sign for NTOR.,,
SIG_14564,BrentRTO,Clarkston Road,7/18/2023,Bhollady1,,,InventoryAdj,Open,Retire,Redundant Please remove. ,,
SIG_1478,57023,Eastways,12/14/2023,Rlipinski1,,,Constrctn,Open,Retire,To be removed during construction project 57023 in 2024.,,
SIG_150290,,10 Mile Rd,2/3/2021,dschimmel1,,,,Open,New,,,
SIG_15183,WH23,Clarkston Road,8/11/2023,WHerman1,,,InventoryAdj,Open,Replace,,,
SIG_15200,WH23,Clarkston Road,8/9/2023,WHerman1,,,InventoryAdj,Open,Replace,,,
SIG_15204,WH23,Clarkston Road,8/9/2023,WHerman1,,,InventoryAdj,Open,Replace,,,
SIG_15206,WH23,Clarkston Road,8/9/2023,WHerman1,,,InventoryAdj,Open,Replace,,,
SIG_15208,WH23,Clarkston Road,8/9/2023,WHerman1,,,InventoryAdj,Open,Replace,,,
SIG_15212,WH23,Clarkston Road,8/9/2023,WHerman1,,,InventoryAdj,Open,Replace,,,
SIG_15213,WH23,Clarkston Road,8/9/2023,WHerman1,,,InventoryAdj,Open,Replace,,,
SIG_153004,,Will-O-Way,2/5/2021,dschimmel1,,,,Open,New,,,
SIG_15400,081823AR1,Clintonville Rd,8/18/2023,Arucinski1,,,Required Installation,Open,Replace,Replace 30" stop with 36" stop,,
SIG_1558,20170427,Sweetbriar,4/27/2017,HAustermann,,,Required Installation,Open,Replace,Replace D3-1 (std) street sign.,PINK 7,
SIG_15677,WH23,Collins Rd,8/2/2023,WHerman1,,,InventoryAdj,Open,Replace,,,
SIG_15679,WH23,Collins Rd,8/2/2023,WHerman1,,,InventoryAdj,Open,Replace,,,
SIG_15713,WH23,Collins Rd,8/2/2023,WHerman1,,,InventoryAdj,Open,Replace,,,
SIG_15917,Bhollady1,S Commerce Rd,7/18/2023,Bhollady1,,,InventoryAdj,Open,Retire, Retire & Replace with Sign R10-15L When available..,R10-15L will be used for Left turns The proper sign is symbolic.,
SIG_16339,,Commerce Rd,1/13/2021,Swixom1,,,InventoryAdj,Open,Replace,Replace Ex signs & post,,
SIG_16340,,Commerce Rd,1/13/2021,Swixom1,,,Faded,Open,Replace,Replace Ex signs & post,,
SIG_1658,20210311,Cartahge Av,3/11/2021,Swixom1,,,Faded,Open,Replace,Replace post & sign,,
SIG_1674,57023,Eastways Rd,12/14/2023,Rlipinski1,,,Constrctn,Open,Retire,To be removed during construction project 57023 in 2024.,,
SIG_16781,WH23,Commerce Rd,6/8/2023,Rlipinski1,,,InventoryAdj,Open,Inspect,,,
